ID,Description,Entry_ID,Comment,Concepticon_ID,Media_IDs,Related_Entries,Related_Forms_Other_Dialect,Scientific_Name,Sense_Dialect,Subspecies,Synonym,Synonyms_Other_Dialect,Source
SN000022,"sucio, manchado, mugroso (en general)",TSE00091,,,,,,,"North, Cancuc, Tenango",,,,
SN000023,"llenarse de hollín, tiznarse, ennegrecerse por el humo",TSE00101,,,,,,,,,,,
SN000024,ensuciarse en general (Yajalón: específicamente con lodo),TSE00101,,,,,,,"North, Cancuc, Tenango",,,,
SN000025,"llenar de hollín, tiznar, ennegrecer por el humo",TSE00111,,,,,Villa Las Rosas <abaktes>,,,,,,
SN000026,ensuciar,TSE00111,,SOIL [1015],,,,,"North, Cancuc, Tenango",,,,
SN000027,"ayudante, asistente, mandadero, mozo, chalán, siervo",TSE00121,,SERVANT [255],,,Petalcingo [j'abat](TSE20191),,,,,,
SN000028,hijo,TSE00121,,,,,,,"Oxchuc, Tenejapa",,,,
SN000029,esposa,TSE00121,,,,,,,Tenejapa,,,,
SN000030,acto de hacer mandados,TSE00131,,,,,,,,,,,
SN000031,"tomar a alguien como ayudante, mandadero, etc.",TSE00141,,,,,,,,,,,
SN000032,tomar de esposa,TSE00141,,,,,,,Tenejapa,,,,
SN000033,"ir de mandado, hacer mandados",TSE00151,,,,,,,,,,,
SN000034,hoja (de planta),TSE00161,,,,,,,,,TSE17101,"Petalcingo, Yajalón [ha'mal](TSE17101)",
SN000035,(en desuso) hoja; aparece en varios compuestos y derivados,TSE00162,,,,,,,,,,,
SN000036,"pues, entonces; partícula que resalta el carácter decisivo, terminante o concluyente de la idea que acompaña (véase también [bi](TSE05551))",TSE00171,,,,,,,,,,,
SN000037,"platicar, conversar, charlar",TSE00181,,,,,,,,,,,
SN000038,"renacuajo, larva acuática de ranas y sapos, en particular chiquito y negro",TSE00191,,,,,,Anura,,,,,
SN000039,"tratamiento de familiaridad que se antepone a los términos usados para dirigirse a una mujer joven, reducción de [ach'ix](TSE00241) 'muchacha'",TSE00201,,,,,,,,,,,
SN000040,"tratamiento de familiaridad que se antepone a los términos usados para dirigirse a una mujer joven, reducción de [ach'ix](TSE00241) 'muchacha'",TSE00202,,,,,,,,,,,
SN000041,"tratamiento de familiaridad que se antepone a los términos usados para dirigirse a una mujer joven, reducción de [ach'ix](TSE00241) 'muchacha'",TSE00203,,,,,,,,,,,
SN000042,"nuevo, reciente, tierno, joven",TSE00211,,NEW [1231],,,,,,,,,
SN000043,"medio nuevo, seminuevo",TSE00212,,,,,,,,,,,
SN000044,"(sobre todo en combinación con [to](TSE60171) y con [nax](TSE44201)) apenas, recientemente, hace poco",TSE00221,,,,,,,,,TSE00291,"Oxchuc, Tenejapa, Yajalón [ach'uben to nax](TSE00291)",
SN000045,hamaca,TSE00231,,HAMMOCK [2019],,,,,,,,,
SN000046,"muchacha, niña, chamaca, chica, jovencita, mujer joven",TSE00241,,YOUNG WOMAN [77] ; GIRL [1646],a5ebe3a1892831e5bb2643cb75ec6c0a,,,,,,,,
SN000047,hija (con poseedor),TSE00241,,,,,,,,,,,
SN000048,novia (con poseedor),TSE00242,,,,,,,,,,,
SN000049,"niñez, juventud de la mujer",TSE00251,,,,,,,,,,,
SN000050,"niña, hija (en relación a un conjunto de personas)",TSE00251,,,,,,,,,,,
SN000051,tomar de novia,TSE00261,,,,,,,,,,,
SN000052,"adoptar, tomar como hija",TSE00261,,,,,,,Tenejapa,,,,
SN000053,rejuvenecer (mujer),TSE00271,,,,,,,,,,,
SN000054,"entrar en la etapa de la pubertad (niña, cuando empieza a menstruar)",TSE00271,,,,,,,"Oxchuc, Yajalón",,,,
SN000055,"renovarse, hacerse nuevo; ser renovado, arreglado, recibir mantenimiento",TSE00281,,,,,,,,,,,
SN000056,"(""apenas renovado"") hace poco, recientemente",TSE00291,,,,,,,,,TSE00221,,
SN000057,"renovar, actualizar, restablecer, restaurar, reconstruir, hacer resurgir",TSE00301,,,,,,,,,,,
SN000058,"difunto, muerto, cadáver, finado; también se antepone al sustantivo o nombre que designa a una persona muerta",TSE00311,,CORPSE [767],,,,,,,,,
SN000059,"hechizar, hipnotizar, haciendo que una persona o un animal pierda el sentido o se obsesione por algo; es propio de entes sobrenaturales y de algunos animales",TSE00321,,,,,,,,,TSE19191,Petalcingo [ik'umtes](TSE19191),
SN000060,debajo de,TSE00331,,,,,,,,,,,
SN000061,"bambú, jimba",TSE00341,,BAMBOO [1927],,,,"planta: Otatea fimbriata, Rhipidocladum pittieri",,,,,
SN000062,lugar de bambú,TSE00351,,,,,,,,,,,
SN000063,lugar de bambú,TSE00361,,,,,,,,,,,
SN000064,mojarse,TSE00371,,GET WET [2324],,,,,,,,,
SN000065,"lodo, barro",TSE00381,,MUD [640] ; CLAY [1399],f83c3264ea39658f549fb83a722f5918,,,,,,,,
SN000066,"lodo, barro de algo, para algo, suciedad pegada a algo",TSE00382,,,,,,,,,,,
SN000067,"casa de bajareque, de tipo tradicional; por extensión, casa de adobe",TSE00383,,,,,,,,,,,
SN000068,"páncreas, bazo",TSE00391,,,,,,,,,,,
SN000069,lodazal,TSE00401,,,,,,,,,,,
SN000070,lodazal,TSE00402,,,,,,,,,,,
SN000071,"lodoso, sucio",TSE00411,,,,,,,,,,,
SN000072,"enlodarse, ensuciarse; hacerse lodo",TSE00421,,,,,,,,,,,
SN000073,"enlodar, volver lodoso, ensuciar",TSE00431,,,,,,,,,,,
SN000074,tortuga (reptil),TSE00441,,TORTOISE [895],,"[kok](TSE31881), [x'ahk'](TSE72171)",,,,,,,
SN000075,concha de tortuga,TSE00441,,,,,,,Petalcingo,,,,
SN000076,noche,TSE00451,,NIGHT [1233],,,,,,,,,
SN000077,durante la noche,TSE00461,,,,,,,,,,,
SN000078,anoche,TSE00471,,,,,,,,,,,
SN000079,"gemido, quejido",TSE00481,,,,,,,,,,,
SN000080,"gemir, quejarse",TSE00491,,,,,,,,,,,
SN000081,"quejarse, gemir",TSE00501,,,,,,,,,,,
SN000082,arriba,TSE00511,,ABOVE [1741],,,,,,,,,
SN000083,"arriba de, pendiente arriba de",TSE00521,,ABOVE [1741],,,,,,,,,
SN000084,tierras altas,TSE00531,,,,,,,,,,,
SN000085,"arriba de, encima de",TSE00541,,,,,,,,,,,
SN000086,"arriba de, encima de",TSE00542,,,,,,,,,,,
SN000087,baile,TSE00551,,,,,,,,,,,
SN000088,bailar,TSE00561,,,2165d9f0990909379857e97c6bea799a,,,,,,,,
SN000089,bailar,TSE00571,,DANCE [1879],,,,,,,TSE00621,Petalcingo [ahk'otin](TSE00621),
SN000090,bailar,TSE00581,,,,,,,,,,,
SN000091,bailar (una danza),TSE00591,,,,,,,,,,,
SN000092,bailar (una danza),TSE00601,,,,,,,,,,Bachajón ahk'otayin,
SN000093,"hacer bailar (a un bebé, al toro de petate, un trompo)",TSE00611,,,,,,,,,,,
SN000094,bailar,TSE00621,,,,,,,,,,,
SN000095,bailar (una danza),TSE00631,,,,,,,,,,,
SN000096,"abajo, debajo",TSE00641,,BELOW OR UNDER [1485],,,,,,,,,
SN000097,tierras bajas,TSE00651,,,,,,,,,,,
SN000098,"bajar, ir a tierras bajas",TSE00661,,,,,,,"Bachajón, Petalcingo, Tenejapa",,,,
SN000099,adelantarse la fecha de algo,TSE00661,,,,[nahilij](TSE43451),,,Tenejapa,,,,
SN000100,"(""siente que bajó el ambiente"") se sintió sin fuerzas",TSE00671,,,,,,,,,,,
SN000101,"(""bajó su corazón"") se desanimó; se sintió débil, sin fuerzas",TSE00681,,,,,,,,,,,
SN000102,"abajo de, debajo de (pendiente abajo o verticalmente sin contacto)",TSE00691,,BELOW OR UNDER [1485],,,,,,,,,
SN000103,"calmarse (calor), oscurecerse (día), entrar la noche",TSE00701,,,,,,,,,,,
SN000104,debilitarse,TSE00701,,,,,,,Petalcingo,,,,
SN000105,"huir, escapar, fugarse",TSE00711,,FLEE [956] ; ESCAPE [1615] ; RUN AWAY [2142],,,,,,,,,
SN000106,"huida, escapada, fuga; acto de huir",TSE00721,,,,,,,,,,,
SN000107,"escondite, guarida, refugio",TSE00731,,,,,,,,,,,
SN000108,correr,TSE00741,,RUN [1519],,,,,,,,,
SN000109,darse prisa,TSE00741,,,,,,,Amatenango,,,,
SN000110,correr,TSE00742,,,,,,,,,,,
SN000111,"(""corre su corazón"") tiene prisa",TSE00743,,,,,,,,,,,
SN000112,carrera; velocidad,TSE00751,,,,,,,,,,,
SN000113,correr,TSE00761,,,,,,,,,,,
SN000114,correr,TSE00762,,,,,,,,,,,
SN000115,"muy rápido, de manera muy repentina",TSE00763,,,,,,,,,,,
SN000116,"rápido, a la carrera, corriendo; repentinamente",TSE00771,,FAST [1631],,,,,,,,,
SN000117,"muy rápido, de manera muy repentina",TSE00772,,,,,,,,,,,
SN000118,"de prisa, a la carrera, rápido",TSE00781,,,,,,,,,,,
SN000119,"hacer escapar, ayudar a escapar; hacer correr",TSE00791,,,,,,,,,,,
SN000120,"de prisa, a la carrera",TSE00801,,,,,,,,,,,
SN000121,correr,TSE00811,,,,,,,,,,,
SN000122,carrera; velocidad,TSE00821,,,,,,,,,,,
SN000123,"muy rápido, de manera muy repentina",TSE00822,,,,,,,,,,,
SN000124,"apurarse para alcanzar algo, perseguir, echarle ganas a",TSE00831,,,,,,,,,,,
SN000125,"escaparse de, huir de, evitar",TSE00831,,,,,,,Bachajón,,,,
SN000126,"gemir (reiteradamente), quejarse (por dolor)",TSE00841,,,,,,,,,,,
SN000127,"número; cuenta, conteo",TSE00851,,NUMBER [1356],,,,,,,,,
SN000128,fecha,TSE00851,,,,,,,,,,,
SN000129,calendario,TSE00851,,,,"[bats'il ahtal](TSE04691), [ahtal uh](TSE00891) 'calendario tseltal'; [kaxlan ahtal](TSE29301) 'calendario gregoriano'",,,,,,,
SN000130,"contar, hacer cuentas",TSE00861,,,,,,,,,,,
SN000131,"hecho de preocuparse, propio del habla ritual",TSE00871,,,,,,,,,,,
SN000132,"está al cuidado de, está al pendiente de",TSE00881,,,,,,,,,,,
SN000133,"calendario (""cuenta de los meses""); existen 18 meses de veinte días más un período complementario de cinco días con el que cierra el año; se presenta la lista de los meses tal como se conocen en Tenejapa con la ubicación reciente aproximada de su inicio en el calendario gregoriano: 1) [jok'en ajaw](TSE24521) (finales de abril), 2) [ch'in j'uch](TSE12731) (mediados de mayo), 3) [muk' uch](TSE42691) (principios de junio), 4) [jukwinkil](TSE26101) (finales de junio), 5) [wakwinkil](TSE69671) (mediados de junio), 6) [jo'winkil](TSE25081) (principios de agosto), 7) [chanwinkil](TSE09591) (finales de agosto), 8) [oxwinkil](TSE47041) (mediados de septiembre), 9) [pom](TSE51371) (principios de octubre), 10) [yaxk'in](TSE76401) (finales de octubre), 11) [mux](TSE43181) (principios o mediados de noviembre), 12) [ts'un](TSE65781) (finales de noviembre), 13) [bats'ul](TSE04761) (finales de noviembre), 14) [sakil ja'](TSE53471) (principios de enero), 15) [ajil ch'ak](TSE01071) (finales de enero), 16) [mak](TSE39911) (mediados de febrero), 17) [olal ti'](TSE46671) (principios de marzo), 18) [jul ol](TSE26131) (finales de marzo), y el período final de cinco días [ch'ayk'in](TSE10111) (en abril)",TSE00891,,,,,,,,,,,
SN000134,"contar, calcular cosas",TSE00901,,COUNT [1420],,,,,,,,,
SN000135,"la cuenta de algo, el horario o la fecha de algo",TSE00911,,,,,,,,,,,
SN000136,"todos, cada quien",TSE00911,,,,,,,,,,,
SN000137,"contar, enumerar",TSE00921,,,,,,,,,,,
SN000138,"mojar, empapar; regar (plantas)",TSE00931,,MOISTEN [28],,,,,,,,,
SN000139,"mojar, empapar; regar (plantas)",TSE00932,,MOISTEN [28],,,,,,,,,
SN000140,"objeto usado para regar las plantas, regadera",TSE00933,,,978d23dd34190d51df93fa15ee5aafb6,,,,,,,,
SN000141,sembrarse,TSE00941,,,,,,,,,,,
SN000142,"lagarto, cocodrilo (reptil)",TSE00951,,CROCODILE [1857],3773d9dd703d0b1eb3c38084ed0ea69b,,,,,,,,
SN000143,"lagarto, cocodrilo (reptil)",TSE00961,,,,,,,,,,,
SN000144,mesa donde se coloca el metate o el molino de nixtamal (véase [ak'inte'](TSE01541)),TSE00971,,,,,,,,,,,
SN000145,tabla (véase [ch'uhte'](TSE14901)),TSE00971,,,,,,,,,,,
SN000146,puente,TSE00971,,BRIDGE [1011],,,,,,,,,
SN000147,"oír, escuchar",TSE00981,,HEAR [1408] ; LISTEN [1608] ; HEARING (AURAL SENSE) [2518],,,,,,,,,
SN000148,"sentir, percibir",TSE00981,,FEEL (TACTUALLY) [2559] ; FEEL [1079],,,,,,,,,
SN000149,"entender, comprender",TSE00981,,UNDERSTAND [1536],,,,,,,,,
SN000150,"probar (alimento, bebida), tomar",TSE00981,,TASTE (SOMETHING) [21],,,,,,,,,
SN000151,"(con sustantivo de acción) hacer, realizar una acción",TSE00981,,,,,,,,,,,
SN000152,"abeja (insecto, término genérico)",TSE00991,,,,[chanul chab](TSE09561),,,"Oxchuc, Tenejapa",,,,
SN000153,nombre de una especie particular de abeja con aguijón,TSE00991,,,,[ajaw chab](TSE01061),,,,,,,
SN000154,víbora de cascabel,TSE01001,,RATTLESNAKE [871],,,Amatenango [chijil chan](TSE11891); Cancuc <ajawil chan>; Yajalón [chijchij chan](TSE11831),Crotalus durissus,,,TSE04131,"sot chan, [bakneh](TSE04131)",
SN000155,nauyaca,TSE01001,,,,,,Bothrops asper,Amatenango,,,,
SN000156,elote,TSE01011,,,dade4c3b39a697b1747cd21d1d2fe092,,,,,,,,
SN000157,"matasano, zapote blanco",TSE01021,,,3582cbea9421d59574f427440ef74450,,,árbol: Casimiroa edulis,,,,,
SN000158,lugar con muchos matasanos,TSE01031,,,,,,,,,,,
SN000159,zopilote rey,TSE01041,,VULTURE [1185],,,,ave: Sarcoramphus papa,,,,,
SN000160,"deidad, entidad sobrenatural, guardián",TSE01051,,,,,,,,,,,
SN000161,"cerro sagrado, lugar sagrado (véase también [anjel](TSE02321))",TSE01051,,,,,,,,,,,
SN000162,"gobernante, rey (sentido original, pero en desuso [ajwal](TSE01321))",TSE01051,,,,,,,,,,,
SN000163,especie de abeja con aguijón (insecto),TSE01061,,,,,,,,,,,
SN000164,"decimoquinto mes del calendario tradicional, inicia a finales de enero; continúa la preparación de la tierra para la siembra de maíz",TSE01071,,,,,,,,,,,
SN000165,tortuga (reptil),TSE01081,,TORTOISE [895],,,,,,,,,
SN000166,"un momento, un rato",TSE01091,,,,,,,,,,,
SN000167,para contar actos de entregar,TSE01101,,,,,,,,,,,
SN000168,"neblina (""nube de noche"")",TSE01111,,FOG [249],,,,,,,,,
SN000169,a cada rato,TSE01121,,,,,,,,,,,
SN000170,a cada rato,TSE01122,,,,,,,,,,,
SN000171,baile; bailar,TSE01131,,,,,,,,,,,
SN000172,toro de petate,TSE01141,,,,,,,,,,,
SN000173,noche,TSE01151,,,,,,,,,,,
SN000174,"tecolote picametate, tecolote serrano",TSE01161,,,,,,ave: Glaucidium gnoma,,,,,R003[Scientific_Name]
SN000175,"tecolote abetero inmaculado, mochuelo moreno",TSE01161,,,,,,ave: Aegolius ridgwayi,,,,,R003[Scientific_Name]
SN000176,durante la noche,TSE01171,,,,,,,,,,,
SN000177,anoche,TSE01181,,,,,,,,,,,
SN000178,amante (hombre o mujer),TSE01191,,,,,,,,,,,
SN000179,adulterio (propio de la Biblia),TSE01201,,ADULTERY [902],,,,,,,,,
SN000180,"tomar de amante a, cometer adulterio con",TSE01211,,,,,,,,,,,
SN000181,tomar de amante,TSE01221,,,,,,,,,,,
SN000182,cometer adulterio,TSE01231,,,,,,,,,,,
SN000183,"acalama, almendrillo, mameyito",TSE01241,,,,,,"planta silvestre que crece en la milpa, de fruto comestible: Saurauia scabrida, S. comitis-rossei",,,,,R002[Scientific_Name]
SN000184,"acalama, almendrillo, mameyito",TSE01251,,,,,,,,,,,
SN000185,"número, cuenta, conteo",TSE01261,,,,,,,,,,,
SN000186,"variado, de varios tipos",TSE01271,,,,,,,,,TSE01291 ; TSE01301,[ajtal ten](TSE01301); [ajtal kum](TSE01291),
SN000187,calendario (cuenta de los días),TSE01281,,,,,,,,,,,
SN000188,"variado, de varios tipos",TSE01291,,,,,,,,,TSE01271 ; TSE01301,[ajtal ten](TSE01301); [ajtal chajp](TSE01271),
SN000189,"variado, de varios tipos",TSE01301,,,,,,,,,TSE01271 ; TSE01291,[ajtal chajp](TSE01271); [ajtal kum](TSE01291),
SN000190,"matasano, zapote blanco (árbol)",TSE01311,,,,,,,,,,,
SN000191,"dueño de algo, permanente (propietario) o temporal (persona que ocupa momentáneamente algo)",TSE01321,,OWNER [1036],,,,,,,,,
SN000192,patrón de alguien,TSE01321,,,,,,,,,,,
SN000193,persona que puede hacerse cargo de algo,TSE01321,,,,,,,,,,,
SN000194,"dueño, habitante (de un territorio)",TSE01323,,,,,,,,,,,
SN000195,"implorar, suplicar, rogar",TSE01331,,,,,,,,,,,
SN000196,"regañar, llamar la atención",TSE01331,,,,,,,Petalcingo,,,,
SN000197,"gobernante (incluyendo gobernador, presidente), gobierno, dirigente, rey",TSE01341,,PRESIDENT [899] ; CHIEF [2394],,,,,,,,,
SN000198,"hierba, pasto, paja, zacate; término genérico que designa todos los tipos de hierbas",TSE01351,,GRASS [606],,,,,,,,,R002[Description]
SN000199,hierba o paja de algo; en particular la que sirve para techar las casas,TSE01352,,THATCH [279] ; THATCH OR ROOF [2100],,,,,,,,,
SN000200,"llenarse de hierba (terreno), enzacatarse",TSE01353,,,89a820f62d34309bb218cc4c8be818d2,,,,,,,,
SN000201,casa con teclo de paja,TSE01354,,,ebb019c6434bbea1a3a26d15fadfa44d,,,,,,,,
SN000202,también; tampoco (con negación),TSE01361,,,,,,,,,,,
SN000203,"bejuco, liana, enredadera",TSE01371,,LIANA [2388],,,,,,,TSE14341,North [ch'ox](TSE14341),
SN000204,"cuerda, lazo para amarrar algo; cuerda de instrumento de música; agujeta de zapato",TSE01372,,,,,,,,,,,
SN000205,lengua,TSE01381,,TONGUE [1205],,,,,,,,,
SN000206,"dar, entregar (algo a alguien)",TSE01391,,GIVE [1447] ; DELIVER [2033],,,,,,,,,
SN000207,"poner, dejar, mandar (algo o alguien en algún lugar)",TSE01391,,PUT [998],,,,,,,,,
SN000208,entrarle a algo (siempre con sufijo <-be(y)>),TSE01391,,,,,,,,,,,
SN000209,"hacer o dejar que algo suceda, hacer o dejar que alguien haga algo (construcción causativa o permisiva)",TSE01391,,PERMIT [1003],,,,,,,,,
SN000210,poner a alguien en un estado o situación,TSE01391,,,,,,,,,,,
SN000211,"(""que acabe su cuidado"") allí que lo vea, ése es su problema, su asunto",TSE01401,,,,,,,,,,,
SN000212,"carbón, brasa",TSE01411,,EMBERS [67],905f6468e95a0bf56eab202e8460facd,,,,,,,,
SN000213,"carbonizarse, hacerse carbón",TSE01421,,,,,,,,,,,
SN000214,carbonizar,TSE01431,,,,,,,,,,,
SN000215,pierna,TSE01441,,LEG [1297] ; FOOT OR LEG [2098],,,,,"Center, Bachajón, Guaquitepec, Sibakja’, Sitalá",,,,
SN000216,pie,TSE01441,,,,,"South, Bachajón, Petalcingo [ok](TSE46461)",,"Center, North (-Bachajón, -Petalcingo)",,,,
SN000217,rodilla,TSE01441,,KNEE [1371],,,,,South,,TSE55411,,
SN000218,parte de la pierna de la rodilla al tobillo (para la pierna completa véase [ok](TSE46461)),TSE01441,,,,,,,"Petalcingo, Villa Las Rosas, Yajalón",,,,
SN000219,"don, destino, suerte, naturaleza de uno",TSE01451,,,,,,,,,,,
SN000220,"tabla, mesa donde se coloca el metate o el molino de nixtamal",TSE01461,,,,[ak'inte'](TSE01541),,,"North, Center",,,,
SN000221,"limpia (de la milpa), chaporreo",TSE01461,,,,[ak'in](TSE01511),,,"Center, Guaquitepec, Petalcingo",,,,
SN000222,"limpiar, desherbar (milpa, hortaliza)",TSE01471,,,,,,,,,,,
SN000223,"murgaño, segador",TSE01481,,,5a642ee94f5e1231a9d07c372ba5d380,,,"arácnido, parecido a una araña pero sin cintura, su abdomen y tórax aparecen unidos: Opiliones",,,,,
SN000224,"pastizal, zacatal, campo",TSE01491,,,,,,,,,,,
SN000225,"pastizal, zacatal, campo",TSE01501,,,,,,,,,,,
SN000226,"limpia (de milpa o cualquier cultivo), acto de chaporrear, desherbar (a ras de suelo)",TSE01511,,,,,,,,,TSE51481,Amatenango chaporial; Bachajón [porial](TSE51481),
SN000227,tabla donde se coloca el metate,TSE01521,,,,,,,,,,,
SN000228,"limpiar, desherbar (milpa, hortaliza)",TSE01531,,,,,,,,,,,
SN000229,"tabla, mesa donde se coloca el metate o el molino de nixtamal",TSE01541,,,,,,,,,,,
SN000230,puente de tablas,TSE01551,,BRIDGE [1011],,,,,,,,,
SN000231,"especie de avispa que da miel, de panal colgante",TSE01561,,,,,,Brachygastra lecheguana,,[ich ako'](TSE18471); [us ako'](TSE68941),,"ako' xux, chanul ako'",R003[Scientific_Name]
SN000232,arriba,TSE01571,,,,,,,,,,,
SN000233,"contento, feliz, alegre; con satisfacción, gozo, agrado, júbilo (habla ritual)",TSE01581,,HAPPY [1495],,,,,,,,,
SN000234,"ponerse feliz con, deleitarse con",TSE01591,,,,,,,,,,,
SN000235,"dar esperanzas, confianza (al corazón)",TSE01601,,,,,,,,,,,
SN000236,"ser generoso, bondadoso con (el corazón de uno)",TSE01611,,,,,,,,,,,
SN000237,"alegrar, complacer (al corazón)",TSE01621,,,,,,,,,,,
SN000238,en la expresión siguiente,TSE01631,,,,,,,,,,,
SN000239,"está gozoso, alegre",TSE01641,,,,,,,,,,,
SN000240,palma de pacaya,TSE01651,,,,,,,,,,,
SN000241,"bastón de los regidores, hecho del tronco de la pacaya",TSE01661,,,,,,,Tenejapa,,,,
SN000242,bastón que usaban antiguamente como arma (para defenderse de los animales salvajes),TSE01661,,,,,,,Villa Las Rosas,,,,
SN000243,aguja,TSE01671,,NEEDLE (FOR SEWING) [1382],269e7c4cffd333206bfac88bedf8c86e,,,,,,,,
SN000244,libélula (insecto),TSE01681,,,,,,,,,,,
SN000245,pesado,TSE01691,,HEAVY [1210],,,,,,,,,
SN000246,medio pesado,TSE01692,,,,,,,,,,,
SN000247,hijo/a de mujer o de hembra de animal,TSE01701,,,,,,,,,,,
SN000248,"dar a luz, procrear, tener hijos (mujer o hembra de animal)",TSE01702,,,,,,,,,,,
SN000249,"decir, avisar",TSE01711,,SAY [1458],,,"var. Bachajón, Petalcingo [hal](TSE17051)",,,,,,
SN000250,"creer, pensar",TSE01711,,,,[kuy](TSE34581),,,,,,,
SN000251,"delatar, denunciar, inculpar, criticar, mencionar, hablar de",TSE01711,,,,,,,,,,,
SN000252,para contar actos de decir,TSE01721,,,,,,,,,,,
SN000253,"da un sentido diminutivo o atenuativo (""poco""), con sustantivos o cualquier clase de predicado, incluyendo verbos",TSE01731,,,,,,,,,TSE12701,,
SN000254,becerro,TSE01741,,CALF [1989],,,,,,,,,
SN000255,hamaca,TSE01751,,HAMMOCK [2019],,,,,,,,,
SN000256,matriz,TSE01761,,WOMB [804],,,,,,,,,
SN000257,morral de siembra (donde se pone la semilla que se va sembrando),TSE01771,,,,,,,,,,,
SN000258,capacidad reproductiva; cantidad potencial de hijos de una mujer,TSE01772,,,,,,,,,,,
SN000259,"animal doméstico (ave de traspatio, ganado, perro, etc.)",TSE01781,,,,,,,"North (-Petalcingo, -Yajalón), Tenango, Tenejapa",,,,
SN000260,"gallina, pollo (funciona como forma poseída supletiva de [mut](TSE43021))",TSE01781,,,,,,,"Center (-Tenango, -Tenejapa), South",,,,
SN000261,"hijito, hijita: expresión de cariño usada hacia los niños o bebés",TSE01781,,,,,,,"North, Cancuc, Tenejapa",,,,
SN000262,pobrecito (despectivo),TSE01781,,,,,,,Petalcingo,,,,
SN000263,"domesticar, amansar; tomar de mascota",TSE01791,,,,,,,,,,,
SN000264,adoptar como hijo/a,TSE01791,,,,,,,Guaquitepec,,,,
SN000265,acariciar,TSE01791,,,,,,,Petalcingo,,TSE01801,,
SN000266,"adular, elogiar",TSE01791,,,,,,,Tenejapa,,,,
SN000267,acariciar,TSE01801,,,,,,,,,TSE01791,,
SN000268,muy bonito (grande y gordo),TSE01811,,,,,,,,,,,
SN000269,"bebé, recién nacido",TSE01821,,BABY [1289],4fc247d85840909c9af32b4539e093c7,,,,,,,,
SN000270,niño (en general),TSE01821,,CHILD (YOUNG HUMAN) [1304],,,,,,,,,
SN000271,"ponerse como bebé, hacerse el bebé",TSE01831,,,,,,,,,,,
SN000272,alambre de púas,TSE01841,,,771b5acbd1c40f23430f181347bf3679,,,,,,,,
SN000273,"abajo, debajo",TSE01851,,,,,,,,,,,
SN000274,ir a tierras bajas; adelantarse,TSE01861,,,,,,,,,,,
SN000275,"estar débil, sin fuerza (bajoneado)",TSE01871,,,,,,,,,,,
SN000276,"dar a luz, parir, tener (hijo/a, por parte de una mujer)",TSE01881,,GIVE BIRTH [1195],,,,,,,,,
SN000277,hamaca,TSE01891,,HAMMOCK [2019],,,,,,,,,
SN000278,carrera (competencia),TSE01901,,,,,,,,,,,
