ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Dialect,Media_IDs,Sense_IDs
XV000020,tzh,la jboj ka' ta lej si' woje,,,me corté el muslo ayer al buscar leña,,,Tenejapa,,SN000010
XV000021,tzh,k'ax k'ux ka',,,me duele mucho el muslo,,,Petalcingo,,SN000010
XV000022,tzh,lek pisan nax te a'ile,,,el muslo está muy bonito,,,Tenejapa,,SN000010
XV000023,tzh,ya xk'ax stam ya'al,,,va a pasar a recoger su agua,,,Guaquitepec,,SN000012
XV000024,tzh,lomaj koel ya'al te alale,,,se le sumió la mollera al bebé,,,Oxchuc,,SN000013
XV000025,tzh,lom bayel ya'lel te lume,,,tiene mucha agua el suelo,,,Guaquitepec,,SN000014 ; SN004793
XV000026,tzh,ay ya'lel tsimai,,,la jícara tiene agua,,,Guaquitepec,,SN000014
XV000027,tzh,mih a kya' ya'lel me chabe,,,las abejas producían mucho líquido (miel),,,Petalcingo,,SN000014
XV000028,tzh,ya x'a'anotik ajk'uk,,,vamos a platicar un ratito,,,Oxchuc,,SN000015
XV000029,tzh,ma' x'a'anat,,,no estés criticando,,,Yajalón,,SN000016
XV000030,tzh,la ya'ambe ya'ay te yantike,,,se lo platicó a los demás,,,Oxchuc,,SN000017 ; SN009431
XV000031,tzh,ma jna'bat ya'anel,,,no te lo sé platicar,,,Oxchuc,,SN000017
XV000032,tzh,ma xawa'an abaik,,,no se critiquen unos a otros,,,Oxchuc,,SN000018
XV000033,tzh,ha' a slok'es tal abak me xch'ailel k'ahk'e,,,es el humo del fuego que produce el hollín,,,Petalcingo,,SN000019 ; SN004775
XV000034,tzh,bayal yabakul te nae,,,la casa tiene mucho hollín,,,Oxchuc,,SN000019 ; SN000651
XV000035,tzh,ay kabakul,,,estoy sucio (tengo suciedad),,,Guaquitepec,,SN000020
XV000036,tzh,"jela awexi, ya yich' yabakul",,,"cambia tu pantalón, se va a ensuciar",,,Guaquitepec,,SN000020
XV000037,tzh,bayel yabakul te ak'u'e,,,tu ropa tiene mucha suciedad,,"en Petalcingo se distinguen dos sufijos de posesión marcada: <-ul> para objetos, <-il> para personas",Petalcingo,,SN000020
XV000038,tzh,ay kabakil,,,estoy sucio (tengo suciedad),,,Petalcingo,,SN000020
XV000039,tzh,abaktik nax te nae,,,la casa está sucia de humo,,,Oxchuc,,SN000021
XV000040,tzh,abaktik xanix sit ta ahch'al,,,tiene el rostro muy sucio de lodo,,,Petalcingo,,SN000022
XV000041,tzh,abaktik kbah,,,estoy sucio,,,Petalcingo,,SN000022
XV000042,tzh,abaktikat,,,estás sucio,,,Petalcingo,,SN000022
XV000043,tzh,ya x'abakub naj teme ya jpastik k'ak' ta yutile,,,la casa se va a llenar de hollín si hacemos fuego adentro,,,Villa Las Rosas,,SN000023 ; SN008606
XV000044,tzh,abakub sk'u' te knich'ane,,,se ensució la ropa de mi hijo,,,Petalcingo,,SN000024
XV000045,tzh,la yabakubtes jna te k'ajk'e,,,el fuego llenó de hollín mi casa,,,Oxchuc,,SN000025
XV000046,tzh,ma' xawabakubtes naji,,,no ensucies la casa,,,Guaquitepec,,SN000026
XV000047,tzh,"ba lea tel abat, xi",,,"ve a buscar a un mandadero, dijo",,,Oxchuc,,SN000027
XV000048,tzh,a'beya jilel te junetik te kabate,,,déjale los documentos a mi asistente,,,Guaquitepec,,SN000027 ; SN002266
XV000049,tzh,"jtikuntik xan ochel kala abatik, jtikuntik xan kala mantartik",,,"mandamos de nuevo a nuestro ayudantito, mandamos otra vez a nuestro mandaderito",,,Tenejapa,,SN000027 ; SN000253
XV000050,tzh,"pasa awokol sok te awabate, te jniale",,,"a ver si nos puedes apoyar con tu hijo, mi yerno",,,Oxchuc,,SN000028
XV000051,tzh,la staix yabat te jkereme,,,mi hijo ya encontró esposa,,,Tenejapa,,SN000029 ; SN007113
XV000052,tzh,talix kaj'abat,,,ya vino mi esposa,,,Tenejapa,,SN000029
XV000053,tzh,yakalon ta abat,,,estoy haciendo mandados,,,Petalcingo,,SN000030
XV000054,tzh,ya xbohon ta abatinel,,,iré a hacer un mandado,,,Petalcingo,,SN000030
XV000055,tzh,la kabatin te kereme,,,tomé al muchacho de ayudante,,,Guaquitepec,,SN000031
XV000056,tzh,puro ho'on ya x'abatinon,,,sólo yo hago los mandados,,,Petalcingo,,SN000033
XV000057,tzh,ja' nanix abi,,,sólo es eso,,,Guaquitepec,,SN000036 ; SN002575 ; SN005534
XV000058,tzh,ya xju' ya xjilix abi,,,entonces ya se puede quedar,,,Guaquitepec,,SN000036
XV000059,tzh,jich abi,,,"ni modos (así es, no tiene remedio)",,,Oxchuc,,SN000036
XV000060,tzh,jichuk abi,,,así sea entonces,,,Oxchuc,,SN000036
XV000061,tzh,laj k'op abi,,,"se acabó el asunto (ni modos, no tiene remedio)",,,Tenejapa,,SN000036 ; SN004083
XV000062,tzh,bayel x'abuy ta pampamja',,,hay muchos renacuajos en los charcos,,,Tenejapa,,SN000038
XV000063,tzh,ay yabuyil te uk'ume,,,el arroyo tiene renacuajos,,,Cancuc,,SN000038
XV000064,tzh,la' me ach Wel,,,ven joven Manuela,,,Bachajón,,SN000039
XV000065,tzh,¿ba xbaat ach'i Maruch?,,,¿adónde vas joven María?,,,Cancuc,,SN000040
XV000066,tzh,la smil mut te aech Maruche,,,la joven María mató un pollo,,,Oxchuc,,SN000041 ; SN005413
XV000067,tzh,ach' chenek',,,frijol tierno o recién cosechado y secado,,,,,SN000042
XV000068,tzh,ach' ixim,,,maíz nuevo (recién cosechado),,,,,SN000042
XV000069,tzh,nopolix xtal ach' habil,,,ya se acerca el año nuevo,,,Petalcingo,,SN000042 ; SN007179
XV000070,tzh,"komo ts'in Marioe melel ja' komite jilem ya'tik, ja' ach' komite",,,"pues como Mario quedó como comité ahora, él es el nuevo comité",,,Tenejapa,,SN000042
XV000071,tzh,li' me julotikix ta ach' ja'e,,,aquí hemos llegado a la nueva toma de agua,,,Tenejapa,,SN000042 ; SN004648
XV000072,tzh,¿ala ach' wakax ya'el in te bi?,,,¿entonces es un becerrito?,,,Tenejapa,,SN000042
XV000073,tzh,slimojix ach' pojpe,,,ya tiene extendido el petate nuevo,,,Villa Las Rosas,,SN000042
XV000074,tzh,teye ay jun ach' naj,,,allí hay una casa nueva,,,Villa Las Rosas,,SN000042 ; SN003301
XV000075,tzh,lom t'ujbil ta yach'ilal te nae,,,de nueva la casa es muy bonita,,,Tenejapa,,SN000042
XV000076,tzh,yach'ilel to la jman te karoe,,,el carro que compré aún es nuevo,,,Cancuc,,SN000042
XV000077,tzh,ach'-ach'tik me k'u'ulile,,,la ropa está seminueva,,,Petalcingo,,SN000043
XV000078,tzh,ach'-ach'tik to te jxanabe,,,mis zapatos aún son medio nuevos,,,Cancuc,,SN000043
XV000079,tzh,"ach' to nax stukel, ma to bay jayjawil",,,"eso es reciente, no tiene muchos años",,,Oxchuc,,SN000044
XV000080,tzh,kapal ay ach' to nax mach'a laj ya'el lum ta Kurus Ch'ene,,,además hace poco alguien murió allá por Cruz Ch'en,,,Tenejapa,,SN000044
XV000081,tzh,ach' nujpunotikon to a,,,apenas nos habíamos casado,,,Villa Las Rosas,,SN000044
XV000082,tzh,ach'-ach'tik to nax te xtaluk ta julbal te jtajune,,,hace poco que mi tío vino de visita,,,Tenejapa,,SN000044
XV000083,tzh,ja' mene ach'-ach' ochel to nax me ch'ujch'ul tuwaetik ya xk'ax ta naetike,,,"en cambio los pequeños tubos que pasan en cada casa, apenitas se pusieron",,,Tenejapa,,SN000044
XV000084,tzh,wayal ta a'chih te alale,,,el bebé está acostado en la hamaca,,,Bachajón,,SN000045
XV000085,tzh,jipil ka'chih ta ye'tal te',,,mi hamaca está colgada debajo del árbol,,,Bachajón,,SN000045
XV000086,tzh,bahtix ta nophun te ach'ixe,,,la muchacha ya se fue a estudiar,,,Petalcingo,,SN000046
XV000087,tzh,¿tut me sbil ach'ixe?,,,¿cómo se llama la muchacha?,,,Villa Las Rosas,,SN000046 ; SN005154
XV000088,tzh,ja' awach'ix ini,,,ella es tu hija,,,Yajalón,,SN000047 ; SN002502 ; SN002575
XV000089,tzh,ya awich' ta ak'ab te kach'ixe,,,recibes en tus manos a mi hija (le dice la madre a su yerno en la boda),,,Oxchuc,,SN000047
XV000090,tzh,mabi ya kalbeix ya'tik te kach'ixtake,,,ahora ya no les digo nada a mis hijas,,,Tenejapa,,SN000047
XV000091,tzh,ijkitayot yu'un yach'ix,,,fue dejado por su novia,,,Guaquitepec,,SN000048 ; SN008637
XV000092,tzh,manchuk mamalix te jbankile bayel to yach'ixtak,,,a pesar de que mi hermano ya está viejo aún tiene muchas novias,,,Guaquitepec,,SN000048
XV000093,tzh,ta yach'ixal to a baht ta ich'el,,,se casó siendo todavía muy joven,,,Petalcingo,,SN000049
XV000094,tzh,jnich'ane la stajix yach'ixal,,,mi hija ya alcanzó su juventud,,,Villa Las Rosas,,SN000049
XV000095,tzh,yach'ixal ts'iin ay xlajik awile,,,"siendo jóvenes a veces se mueren (las mujeres, al dar a luz)",,,Cancuc,,SN000049 ; SN000443
XV000096,tzh,yach'ixal to a te la jna'bey sbae,,,aún era joven cuando la conocí,,,Guaquitepec,,SN000049 ; SN007274
XV000097,tzh,yach'ixil to me ants ine,,,esa mujer aún está joven,,,Guaquitepec,,SN000049 ; SN002501
XV000098,tzh,yu'un lom bayel la kuch' trawo ta kach'ixlel,,,es porque tomé mucho aguardiente en mi juventud,,,Sitalá,,SN000049 ; SN008638
XV000099,tzh,t'ujbil nax ta ilel te ach'ixilale,,,la juventud se ve muy bonita,,,Tenejapa,,SN000049
XV000100,tzh,"puro kerem yuntikil me kbankile, ma'yuk yach'ixlel",,,"mi hermano mayor tiene puros hijos varones, no tiene ninguna hija",,,Petalcingo,,SN000050
XV000101,tzh,ya kach'ixin te xPete,,,voy a tomar a Petrona de novia,,,Guaquitepec,,SN000051
XV000102,tzh,"k'alal cham te ame'e, la kach'ixinat",,,"cuando murió tu madre, te adopté como hija",,,Tenejapa,,SN000052
XV000103,tzh,ach'ixubix ta ilel,,,parece que ya rejuveneció,,,Petalcingo,,SN000053
XV000104,tzh,ach'ixuben a sujt talel te antse,,,la mujer regresó rejuvenecida,,,Guaquitepec,,SN000053
XV000105,tzh,yakalix ta ach'ixubel te kale,,,mi hija ya está entrando a su etapa de pubertad,,,Oxchuc,,SN000054
XV000106,tzh,ach'ixubix te kale,,,mi hija ya entró en la pubertad,,,Yajalón,,SN000054
XV000107,tzh,ach'ubix jnaje,,,ya fue renovada mi casa,,,Villa Las Rosas,,SN000055
XV000108,tzh,ach'ubenix te sti' jnae,,,la puerta de mi casa ya está renovada,,,Oxchuc,,SN000055
XV000109,tzh,"wokol la yal te Kajwaltike, lek a ach'ub te ja'wile",,,"gracias a nuestro Señor, pasó bien el año nuevo (se renovó bien el año)",,,Tenejapa,,SN000055
XV000110,tzh,cha'ach'ub me jk'ue,,,se volvió nueva mi camisa (porque la lavaron bien),,,Petalcingo,,SN000055
XV000111,tzh,ach'ubel to nax ku'un te june,,,acabo de actualizar mi acta (“se acaba de actualizar para mí”),,,Cancuc,,SN000055 ; SN008637
XV000112,tzh,"ach'ixe baht sjelta tal sbah, wen ach'uben a tal",,,"le muchacha se fue a cambiar, regresó bien arreglada",,,Petalcingo,,SN000055
XV000113,tzh,ach'uben to nax la yalbon tul jmamtik,,,hace poco me lo dijo un señor,,,Oxchuc,,SN000056
XV000114,tzh,la yach'ubtes sti' snah te winike,,,el hombre renovó la puerta de su casa,,,Petalcingo,,SN000057
XV000115,tzh,laj kach'ubtesix te june,,,ya actualicé mi documento,,,Guaquitepec,,SN000057
XV000116,tzh,la to yay ch'in jal chojak' uk i aelmel jmame,,,todavía se dedicó un poco a tejer redes mi difunto abuelo,,,Oxchuc,,SN000058 ; SN002356 ; SN007517
XV000117,tzh,"ahaltabilix, ha' yu'un ma sk'anix ya kyihkita yilel te j'uch chane",,,"ya está hipnotizado, por eso ya no quiere dejar de ver a la mazacuata",,,Petalcingo,,SN000059
XV000118,tzh,ya x'ahaltawan te yajwal witse,,,el guardián del cerro hechiza a la gente,,,Petalcingo,,SN000059
XV000119,tzh,ay ta yahanil te',,,está debajo del árbol,,,Petalcingo,,SN000060
XV000120,tzh,"¿banti a xlok' tal te ha'e?, ta jun yahan ton",,,"¿de dónde sale el agua?, de abajo de una piedra",,se reduce a <yahan> en compuestos,Petalcingo,,SN000060
XV000121,tzh,ay chanetik te ta banti ya xkol ahbe,,,hay culebras donde crecen los bambús,,,Petalcingo,,SN000061 ; SN000440
XV000122,tzh,ahbaltik te sk'inale,,,su terreno está lleno de bambú,,,Petalcingo,,SN000062
XV000123,tzh,bayel ahch'on ta ha'al,,,me mojé mucho por la lluvia,,,Petalcingo,,SN000064
XV000124,tzh,ajch'on k'oel,,,llegué mojado,,,Guaquitepec,,SN000064
XV000125,tzh,ajch' i pak'etik yu'un i ja'ali,,,se mojaron las telas por la lluvia,,,Tenejapa,,SN000064 ; SN002356 ; SN008637
XV000126,tzh,ach'ix lume,,,ya se mojó el suelo,,,Villa Las Rosas,,SN000064
XV000127,tzh,ach'onix,,,ya me mojé,,,Villa Las Rosas,,SN000064
XV000128,tzh,k'ax bayel ahch'al ta beh,,,hay mucho lodo en el camino,,,Petalcingo,,SN000065
XV000129,tzh,bayal ajch'al la jtek',,,pisé mucho lodo,,,Oxchuc,,SN000065 ; SN000651
XV000130,tzh,te oxom ya spasik sok xuch'il ajch'al,,,la olla la hacen con lodo chicloso,,,Guaquitepec,,SN000065 ; SN006046 ; SN006960
XV000131,tzh,"chajpix to a jil ajch'al ta naj a, ja' i tajin alaletiki",,,"quedó mucho lodo en la casa, es que jugaron los niños",,,Tenejapa,,SN000065 ; SN000270
XV000132,tzh,ay bayal ach'al ta xolal,,,hay mucho lodo en la calle,,,Villa Las Rosas,,SN000065
XV000133,tzh,ya jlok'esbey yajch'alel te oxome,,,extraigo el barro para la olla,,,Guaquitepec,,SN000066 ; SN004774
XV000134,tzh,ay yajch'alel jxanab,,,tiene lodo mi zapato,,,Cancuc,,SN000066
XV000135,tzh,yahch'al wakax,,,páncreas de res,,,Bachajón,,SN000068
XV000136,tzh,ja' jpoxtik te yajch'al chitame,,,nuestro medicamento es el páncreas de puerco,,"funciona asimismo como cópula pronominal, poniendo en relación dos frases nominales",Cancuc,,SN000068 ; SN002575
XV000137,tzh,solo ahch'aleltik sbehlal te snahil nopjune,,,el camino a la escuela es puro lodazal,,,Petalcingo,,SN000069
XV000138,tzh,ajch'aleltik te banti a ochik baele,,,era un lodazal donde se metieron,,,Guaquitepec,,SN000069
XV000139,tzh,majts'aj jilel jtep ta ajch'aleltik,,,quedó atorado mi zapato en el lodazal,,,Tenejapa,,SN000069
XV000140,tzh,bojon tal ta bejel ta ach'alaltik,,,fui a caminar en el lodazal,,,Villa Las Rosas,,SN000070
XV000141,tzh,ahch'altik swex,,,su pantalón está lodoso,,,Petalcingo,,SN000071
XV000142,tzh,ajch'altik te banti ya ya'yik ajk'ote,,,está lodoso en donde bailan,,,Guaquitepec,,SN000071
XV000143,tzh,ajch'altik nanix a i sti' anai,,,tiene mucho lodo la puerta de tu casa,,,Tenejapa,,SN000071 ; SN002356 ; SN005534
XV000144,tzh,ach'altik nax jk'u'e,,,mi ropa está sucia,,,Villa Las Rosas,,SN000071
XV000145,tzh,ya x'ahch'alub ta yorahil ha'al te behe,,,el camino se vuelve lodoso en tiempo de lluvia,,,Petalcingo,,SN000072
XV000146,tzh,"ma' xamalik ja' teye, ya x'ajch'alub",,,"no derramen agua allí, se va a enlodar",,,Guaquitepec,,SN000072
XV000147,tzh,ajch'alub xix kakan ta labal st'umtiklayel ajch'al,,,se enlodaron mucho mis pies por estar pisando lodo,,,Tenejapa,,SN000072
XV000148,tzh,ya x'ach'alub sbelal te jnae,,,el camino de mi casa se hace lodoso,,,Yajalón,,SN000072
XV000149,tzh,la yajch'alubtes te naje,,,enlodó la casa,,,Guaquitepec,,SN000073
XV000150,tzh,la yajch'alubteson jilel i alali,,,me dejó enlodado el bebé,,,Tenejapa,,SN000073 ; SN002266
XV000151,tzh,k'axel bayel la yajch'alubtes jilel be i chawukil ja'al la yak'i,,,el aguacero que pasó volvió muy lodoso el camino,,,Tenejapa,,SN000073
XV000152,tzh,la kach'alubtes ta bukuk jwexe,,,ensucié mi pantalón con polvo,,,Villa Las Rosas,,SN000073
XV000153,tzh,la jtsak tal ajk ta jk'al,,,agarré una tortuga en mi milpa (y la traje),,,Villa Las Rosas,,SN000074 ; SN007183
XV000154,tzh,yakal stijbel ahk,,,está tocando concha de tortuga,,,Petalcingo,,SN000075
XV000155,tzh,bayel ek'etik ta ahk'abal,,,en la noche hay muchas estrellas,,,Petalcingo,,SN000076
XV000156,tzh,ay k'in li' ta ak'abal,,,esta noche hay una fiesta,,,Yajalón,,SN000076 ; SN003865
XV000157,tzh,ayix jun yahk'abalul te uhe,,,la luna ya tiene una noche (es la primera noche después de la luna nueva),,,Bachajón,,SN000076
XV000158,tzh,ta ahk'abaltik laj ya x'elk'ajik,,,(se dice que) roban durante la noche,,,Bachajón,,SN000077
XV000159,tzh,ajk'abaltik la spas te ya'tele,,,durante la noche hizo su trabajo,,,Guaquitepec,,SN000077
XV000160,tzh,ajk'abaltikix,,,ya es de noche,,,Guaquitepec,,SN000077
XV000161,tzh,ajk'abaltikix a bajt,,,se fue ya anocheciendo,,,Guaquitepec,,SN000077
XV000162,tzh,ta ajk'abaltik ya yil sbaik,,,se ven en la noche,,,Guaquitepec,,SN000077
XV000163,tzh,ahk'abeyix xk'ohukon ta paxyal,,,ya era noche ayer cuando fui a pasear,,,Petalcingo,,SN000078
XV000164,tzh,bayel a ok' ahk'abe te alale,,,el bebé lloró mucho anoche,,,Petalcingo,,SN000078
XV000165,tzh,namal chikan te yajkan te Petule,,,de lejos se escucha el gemido de Pedro,,,Guaquitepec,,SN000079
XV000166,tzh,maba jteb yajkanul sti'aw ye te ts'i'e,,,no es poco el gemido que provoca la mordedura de un perro,,,Tenejapa,,SN000079
XV000167,tzh,yakal ta ajkan yu'un sti'aw sjol,,,se está quejando por el dolor de su cabeza,,,Tenejapa,,SN000080 ; SN008637
XV000168,tzh,ya x'ahkanaj ta skaj xchamel,,,gime a causa de su enfermedad,,,Petalcingo,,SN000081
XV000169,tzh,ya me x'ajkanajotik yu'un ts'in bi,,,nos quejamos (de dolor) por eso,,,Tenejapa,,SN000081
XV000170,tzh,x'akanaj yu'un sk'uxul sjol te jme'e,,,mi madre se queja por el dolor de su cabeza,,,Yajalón,,SN000081
XV000171,tzh,bayal x'ajkanajon yu'un yalal si',,,me quejo mucho por el peso de la leña,,,Ametenango,,SN000081 ; SN000245 ; SN000651 ; SN008637
XV000172,tzh,yakon ta ajkanajel,,,estoy gimiendo,,,Guaquitepec,,SN000081
XV000173,tzh,ay ta ahk'ol,,,está arriba,,,Petalcingo,,SN000082
XV000174,tzh,jich ajk'ol ya xmootik beli,,,así vamos a subir hacia allá arriba,,,Cancuc,,SN000082 ; SN005296
XV000175,tzh,li' to me ta ajk'ol ya xmujk stukel ts'in kalak'tike,,,"más arriba de aquí se van a enterrar nuestros animales (hablando de pescados, en un ritual)",,,Tenejapa,,SN000082
XV000176,tzh,ayix tel ta yajk'ol Yochib,,,ya está viniendo por arriba de Yochib,,,Cancuc,,SN000083
XV000177,tzh,ayotik ta yajk'ol be,,,estamos arriba del camino,,,Ametenango,,SN000083
XV000178,tzh,"ajk'ol k'inal kuxulon sok te jme' jtate, yu'un ta jol wits ay jna jo'tik",,,con mis padres vivo en tierras altas porque nuestra casa está en la cima del cerro,,,Tenejapa,,SN000084
XV000179,tzh,"ja' wokol te ajk'ol k'inal kuxul te ach'ixe, najt ta julbatayel",,,"el problema es que la muchacha viva en tierras altas, queda lejos para visitarla",,,Tenejapa,,SN000084 ; SN003290
XV000180,tzh,ya xba kil jkajpetal ta ajk'ol k'inal,,,voy a ver mi cafetal en tierras altas,,,Cancuc,,SN000084
XV000181,tzh,"tsa'amuchil ha', ha' te wa' ay ta yahk'olal ha'i",,,"los musgos del agua, eso es lo que se encuentra sobre la superficie del agua",,,Petalcingo,,SN000085
XV000182,tzh,ay ta yak'olal ja' te bojche,,,la jícara está encima del agua,,,Yajalón,,SN000085
XV000183,tzh,luchul mut ta yajk'lal naj,,,hay un pájaro parado sobre el techo de la casa,,,Oxchuc,,SN000086 ; SN005412
XV000184,tzh,maba t'ujbil yahk'ot te ach'ixe,,,no está bonito el baile de la muchacha,,,Petalcingo,,SN000087
XV000185,tzh,bajt yil ajk'ot,,,fue a ver el baile,,,Guaquitepec,,SN000087
XV000186,tzh,ya ya'beyik yajk'otil te uch'oja'ile,,,le hacen su baile al pozo,,,Cancuc,,SN000087
XV000187,tzh,ka'aytik ajk'ot,,,bailemos,,,Guaquitepec,,SN000088
XV000188,tzh,yakalon ta ajk'ot,,,estoy bailando,,,Guaquitepec,,SN000088 ; SN009389
XV000189,tzh,bayel ya x'ahk'otaj me in antse,,,esa mujer baila mucho,,,Petalcingo,,SN000089 ; SN002498
XV000190,tzh,ajk'otajanik me ya'tik bankilaletik,,,bailen ahora hermanos mayores,,,Tenejapa,,SN000089
XV000191,tzh,yakalik ta ahk'otal ta parke,,,están bailando en el parque,,,Petalcingo,,SN000090
XV000192,tzh,ta ajk'abal ya ya'yik ajk'otal,,,en la noche bailan,,,Tenango,,SN000090
XV000193,tzh,¿bi ma xawahk'otan ehke?,,,¿por qué no lo bailas también?,,,Petalcingo,,SN000091
XV000194,tzh,ya jmulan yajk'otanel te bats'il k'ine,,,me gusta bailar la música tradicional,,,Guaquitepec,,SN000091
XV000195,tzh,"ya x'och ta pasel ts'in sone, k'ayube, ja' ya yajk'otanik ek ts'i",,,"se comienza a preparar los instrumentos de cuerda, tambor, y con esos bailan",,,Tenejapa,,SN000091
XV000196,tzh,la kak'otan k'ine,,,bailé la música,,,Villa Las Rosas,,SN000091
XV000197,tzh,ahk'otaya me te bats'il k'ine,,,baila la música tradicional,,,Bachajón,,SN000092
XV000198,tzh,yak ta yahk'otayel te k'in te ach'ixe,,,la muchacha está bailando la pieza de música,,,Bachajón,,SN000092 ; SN003866
XV000199,tzh,"ahk'otesa te alale, yu'un ma' x'ok' a",,,"haz bailar al bebé, para que no llore",,,Bachajón,,SN000093 ; SN000269
XV000200,tzh,¿ya bal kana' yahk'otinel kumbia?,,,¿sabes bailar la cumbia?,,,Petalcingo,,SN000095
XV000201,tzh,ay ta ahlan,,,está abajo,,,Petalcingo,,SN000096
XV000202,tzh,ak'a ta alan,,,ponlo abajo,,,Guaquitepec,,SN000096
XV000203,tzh,baht ta ak'in ta ahlan k'inal,,,fue a limpiar (el cultivo) en las tierras bajas,,,Bachajón,,SN000097
XV000204,tzh,ta alan k'inal talem me jtatik ya sna' ch'abe,,,el señor que sabe rezar viene de las tierras bajas,,,Tenejapa,,SN000097
XV000205,tzh,"li' hilonkotiki, yan stukel te yantike ahlanijik bahel",,,"nosotros aquí nos quedamos, y los demás se fueron yendo hacia tierras bajas",,,Bachajón,,SN000098 ; SN004648
XV000206,tzh,alanej koel sok sme' stat te winike,,,el hombre se fue a tierras bajas con sus padres,,,Tenejapa,,SN000098
XV000207,tzh,alanej tal sk'alelal te k'ine,,,se adelantó la fecha de la fiesta,,,Tenejapa,,SN000099 ; SN003865
XV000208,tzh,alanej k'inal ya ka'iy,,,me sentí débil,,,Tenejapa,,SN000100
XV000209,tzh,alanej k'inal yu'un te sti'aw xuxe,,,me debilitó la picadura de avispa,,,Cancuc,,SN000100
XV000210,tzh,ahlanijem yo'tan,,,está desanimado,,,Bachajón,,SN000101
XV000211,tzh,alanej ko'tan,,,me sentí débil,,,Tenejapa,,SN000101
XV000212,tzh,yakal ta alanejel yo'tan,,,se está sintiendo débil,,,Tenejapa,,SN000101
XV000213,tzh,lum ay ta yahlanil kohel Ya'alxexe,,,está allá pendiente abajo de Ya'alxex (pueblo),,,Bachajón,,SN000102
XV000214,tzh,ayon ta yalanil te',,,estoy debajo de un árbol,,,Tenejapa,,SN000102 ; SN000441 ; SN007087
XV000215,tzh,ay ta kalanil i alali,,,el bebé está abajo de mí,,,Tenejapa,,SN000102
XV000216,tzh,"li' wan pakalon, ye'tal yahlan awok, ye'tal yahlan ak'ab",,,"quizás aquí esté yo echado, debajo de tus pies, debajo de tus manos",,en Bachajón se prefiere [e'tal](TSE16591) cuando la relación espacial es vertical y de cercanía; <yahlanil> se puede reducir a <yahlan> en compuestos o cuasi compuestos,Bachajón,,SN000102
XV000217,tzh,ahmajix k'inal,,,ya está entrando la noche,,,Petalcingo,,SN000103
XV000218,tzh,amajix te k'ajk'e,,,ya se debilitó el fuego,,,Tenejapa,,SN000103
XV000219,tzh,"amajix jtebuk te k'inale, solel lom k'ux k'al te naxe",,,"ya se disminuyó un poco el calor, de plano hace rato estaba fuerte el calor",,,Tenejapa,,SN000103
XV000220,tzh,ahmaj kok jk'ab ta a'tel,,,se me debilitaron pies y manos por el trabajo,,,Petalcingo,,SN000104
